"Позиция","Ден сред","Деб зад","Кред зад","Кред получ","Бал позиц"
"На 31 декабря 2015 г. ","","","","",""
"Доллары США ","927 698 ","888 344 ","476 504 ","- ","1 339 538 "
"Евро ","334 706 ","400 629 ","415 632 ","697 862 ","(378 159) "
"Итого  ","1 262 404 ","1 288 973 ","892 136 ","697 862 ","961 379"
"На 31 декабря 2014 г. ","","","","",""
"Доллары США ","3 989 586 ","1 634 173 ","171 218 ","2 255 692 ","3 196 849 "
"Евро ","190 250 ","515 641 ","237 971 ","2 417 063 ","(1 949 143) "
"Итого  ","4 179 836 ","2 149 814 ","409 189 ","4 672 755 ","1 247 706"
"На 31 декабря 2013 г. ","","","","",""
"Доллары США ","97 316 ","1 167 874 ","499 753 ","2 671 952 ","(1 906 515) "
"Евро ","88 619 ","382 384 ","88 187 ","734 486 ","(351 670) "
"Итого  ","185 935 ","1 550 258 ","587 940 ","3 406 438 ","(2 258 185)"
